Price,Close,High,Low,Open,Volume
Ticker,0700.HK,0700.HK,0700.HK,0700.HK,0700.HK
Date,,,,,
2023-10-24,278.14825439453125,284.8316633504266,277.75511798437014,282.0796784849133,21619960
2023-10-25,282.865966796875,291.31853505299296,280.31056499368407,287.3871107472997,17506229
2023-10-26,282.6694030761719,285.22483477880763,278.1482592937218,281.88310024761455,11446711
2023-10-27,287.7802429199219,289.549401827933,282.0796897587881,282.66940939479184,16455031
2023-10-30,290.3356628417969,292.69451129524754,285.81451914262493,286.6008219566988,14357754
2023-10-31,284.2419738769531,290.3356632235135,283.0625346514844,290.3356632235135,13727382
2023-11-01,282.0796813964844,285.02824949470545,279.5242497124823,283.8488102576627,11006036
2023-11-02,283.6522521972656,289.1562518853699,281.88309337195426,285.0282446206954,10477412
2023-11-03,297.4122314453125,298.9848070433775,286.4042322532424,287.19053504946726,21575201
2023-11-06,307.2408142089844,308.8133899235885,301.93339741728414,304.48879920983046,26863379
2023-11-07,303.30938720703125,308.61680395126484,300.95053865341487,307.2408114611875,13397743
2023-11-08,303.1128234863281,309.2065434698432,302.1299673595927,304.09567961306357,12879809
2023-11-09,301.54022216796875,303.5059342550986,299.7710932873063,299.7710932873063,10272208
2023-11-10,297.60882568359375,299.377984723247,296.03627986308715,299.377984723247,9871831
2023-11-13,304.4888000488281,306.45451219890293,295.05340572397887,297.0191178740536,13586029
2023-11-14,302.5231018066406,306.6511095093293,300.36083633878485,306.45452628752946,12477388
2023-11-15,317.0693664550781,318.0522225011296,308.61679846015835,311.1722301787694,32454690
2023-11-16,319.23162841796875,324.3424918016891,310.77909050591825,324.3424918016891,35296026
2023-11-17,309.7962341308594,318.05221882334666,307.8305220614869,318.05221882334666,21970164
2023-11-20,321.00079345703125,323.1630587806931,310.77909648724716,310.77909648724716,27782719
2023-11-21,319.23162841796875,326.8979234935493,318.052219171685,324.735628217117,24188659
2023-11-22,318.8385009765625,324.3425009306262,316.4796524232171,322.37678880377393,14169841
2023-11-23,323.55621337890625,323.9493497875397,318.052213674882,321.00078173121085,14531153
2023-11-24,315.6933898925781,323.94937509642943,314.5139505801475,323.94937509642943,15236522
2023-11-27,317.26593017578125,319.428225546466,312.54823299623445,319.428225546466,12232068
2023-11-28,314.1208190917969,318.8385164271017,311.56538720417836,318.8385164271017,15153725
2023-11-29,311.56536865234375,318.4453610200611,308.2236640726154,317.46250496753004,16856744
2023-11-30,321.3939208984375,321.3939208984375,311.56536062631403,311.95849703832187,30308092
2023-12-01,313.5310974121094,320.21450692658726,313.5310974121094,319.2316508218471,15149684
2023-12-04,311.3688049316406,318.6419641710828,309.79625914467954,317.46252483647373,14907238
2023-12-05,303.5059509277344,315.4968073156805,299.7711097547743,315.4968073156805,23730039
2023-12-06,306.2579650878906,309.4030865940977,297.2156770194715,301.34368461470365,15896242
2023-12-07,302.5231018066406,305.8648366109069,298.7882605475516,303.70254114866265,13703651
2023-12-08,300.36083984375,303.89912791671657,295.8396956390921,302.1299688830389,16600566
2023-12-11,301.93341064453125,303.30940320719486,293.2842588324958,295.64310751054614,18402157
2023-12-12,306.0613708496094,306.45450727442955,300.9505373381741,301.73681018781446,12995914
2023-12-13,301.73681640625,305.471657510592,299.1813846006747,304.2922482118253,14145125
2023-12-14,301.1470947265625,308.6168068792041,299.3779657931626,304.68538258774925,17198776
2023-12-15,309.00994873046875,313.9242291809991,303.7025318427735,305.6682440229856,30917917
2023-12-18,306.2579650878906,307.240821182528,304.29225289861586,304.29225289861586,12094993
2023-12-19,306.4544982910156,309.0099299690166,301.34366492939944,305.6682254644241,12530326
2023-12-20,308.8133850097656,312.7448092365258,306.8476728963856,310.77909712314573,14187408
2023-12-21,307.2408142089844,308.22367028131356,303.7025263497219,303.8991095619425,10167030
2023-12-22,269.30255126953125,311.5653604103701,259.0808545924845,311.5653604103701,147014902
2023-12-27,280.1139831542969,286.0111196417558,277.36199812457096,277.36199812457096,64471032
